Ikokoto,4646.450442,120540.80527375
Image,2430.25633483333,57445.7898943156
Mafwemiro,3094.24915275,17061.8114235045
Mamirwa,3204.04320816667,297542.436195215
Mazumbai,2889.37424465152,164694.040877198
Mbulu,3396.95431120238,121244.114487778
MtKenya,2532.7275413,259398.35161898
Mufindi,4497.16240764792,156577.282867437
Namuli,4755.78829058056,7004.67931921065
Ndundulu,2886.48201153333,217564.202419753
Nguru,3076.74697433333,373936.093947948
Njesi,5029.91247377333,320788.429184514
Rungwe,4696.36228546667,63728.1625943569
Selebu,2554.49323145833,22802.2279210681
SouthPare,3375.9477095,missing
Uluguru,2703.54508309524,154707.024380236
