Ikokoto,3066.71766369231,53823.1584654294
Image,3825.18552638889,64865.4917554144
Mafwemiro,3115.93541441667,5448.62533446077
Mamirwa,3363.94891285714,304247.696091945
Mazumbai,4105.84566227273,145879.696376541
Mbulu,3596.09908353571,88771.8966437444
MtKenya,4345.3202459,186383.056149938
Mufindi,3037.96895690417,27902.8499696726
Namuli,2926.20363303148,9143.39060699531
Ndundulu,3715.88988268889,126308.950390827
Nguru,3588.22014086111,306100.541138506
Njesi,2796.86707669333,29816.5989023939
Rungwe,2905.76526986667,58112.1681325272
Selebu,3625.5769065,65268.1613271598
SouthPare,3712.846236,missing
Uluguru,5203.21398569048,243481.199001827
