Ikokoto,7713.16810569231,53958.5357933993
Image,6255.44186122222,27665.569192401
Mafwemiro,6210.18456716667,29491.2716474681
Mamirwa,6567.99212102381,158963.66417693
Mazumbai,6995.21990692424,117669.67496486
Mbulu,6993.0533947381,81061.7117732113
MtKenya,6878.0477872,81814.8629855778
Mufindi,7535.13136455208,121471.933427355
Namuli,7681.99192361204,3776.01568598325
Ndundulu,6602.37189422222,83750.7038058813
Nguru,6664.96711519444,31382.6173851875
Njesi,7826.77955046667,188747.988045291
Rungwe,7602.12755533333,51895.6557281601
Selebu,6180.07013795833,22407.6828351843
SouthPare,7088.7939455,missing
Uluguru,7906.75906878571,84664.0618312136
