Ikokoto,5431.49171401282,62850.9787373312
Image,5356.42739666667,45373.3132521077
Mafwemiro,5150.65231604167,22505.003888315
Mamirwa,5415.15501289286,30362.249963681
Mazumbai,5536.19611964394,32176.9785848015
Mbulu,5420.47106410119,17986.6754035301
MtKenya,5646.67411665,27023.9119293456
Mufindi,5435.88522719896,33615.8726804742
Namuli,5540.53822958056,24505.1445283043
Ndundulu,5341.97422216667,32575.0391444138
Nguru,5617.19393294444,63632.858770137
Njesi,5553.54206726,79163.3713002661
Rungwe,5660.8018217,81237.5742861997
Selebu,5166.77897883333,22565.9165588881
SouthPare,5293.5709635,missing
Uluguru,6540.70690186905,12587.9613407871
